,trader_name,daily_roi,weekly_roi,monthly_roi,all_roi,daily_pnl,weekly_pnl,monthly_pnl,all_pnl,number_of_trade,traded_open_dates,traded_symbols,traded_leverages,traded_types,traded_size,traded_open_price,traded_market_price,trade_pnl,trade_roi
693,CnTraderT,-5.29%,+4.79%,+97.65%,+134.17%,"-45,650.16","+37,295.54","+685,183.54","+20,080,646.87",3,"['2022-12-28 15:38:09', '2022-12-23 16:51:55', '2022-12-28 15:40:48']","['BNBUSDT Perpetual', 'ETHUSDT Perpetual', 'BTCUSDT Perpetual']","['5x', '10x', '15x']","['Short', 'Short', 'Short']","['8194.45', '1999', '119.413']","['245.673', '1,220.72', '16,835.16']","['245.336', '1,196.25', '16,565.20']","['2,759.11', '48,909.43', '32,236.52']","['(0.6862%)', '(20.4530%)', '(24.4451%)']"
694,Cho***aro,+2.84%,-32.44%,+17.31%,-106.79%,+5.54,-96.18,+77.98,"-14,243.39",1,['2022-12-29 21:21:59'],['BTCUSDT Perpetual'],['85x'],['Long'],['0.118'],"['16,582.00']","['16,563.90']",['-2.14'],['(-3.1511%)']
695,Ketepeng,0.00%,+13.07%,-6.65%,+881.00%,0.00,+19.48,-10.90,"+1,716.29",1,['2022-12-30 20:57:56'],['OCEANUSDT Perpetual'],['20x'],['Short'],['4996'],['0.16715'],['0.16681'],['1.72'],['(4.1182%)']
696,Anonymous User-dbd8a4,0.00%,0.00%,-105.02%,-56.51%,0.00,0.00,"-1,581.29","-99,151.96",0,[],[],[],[],[],[],[],[],[]
697,Anonymous User-e8c695,+392.17%,-78.71%,-84.42%,-7.49%,+392.17,"-1,819.89","-2,667.63","-51,512.14",3,"['2022-12-16 10:00:28', '2022-12-19 19:17:45', '2022-12-16 11:17:08']","['ETHUSDT Perpetual', 'AVAXUSDT Perpetual', 'BTCUSDT Perpetual']","['10x', '20x', '20x']","['Long', 'Long', 'Long']","['45.285', '850', '1.886']","['1,228.00', '11.7520', '16,930.00']","['1,196.23', '10.8488', '16,563.60']","['-1,438.70', '-767.72', '-691.03']","['(-14.8292%)', '(-166.5066%)', '(-13.2645%)']"
698,xotxot,0.00%,0.00%,-9.33%,-25.91%,0.00,0.00,-431.15,"-225,849.50",0,[],[],[],[],[],[],[],[],[]
699,A-Tuhi,0.00%,-18.02%,-101.94%,-129.85%,0.00,-21.98,"-3,309.04","-25,495.10",0,[],[],[],[],[],[],[],[],[]
700,TreeOfAlpha1,0.00%,+0.12%,-6.87%,"+1,218.31%",-0.00,"+1,180.59","-61,627.40","+4,621,155.92",0,[],[],[],[],[],[],[],[],[]
701,elonier,-1.54%,-3.13%,+9.60%,+18.68%,"-12,643.60","-26,046.54","+72,856.94","+806,918.82",0,[],[],[],[],[],[],[],[],[]
702,Anonymous User-1a8e8,0.00%,0.00%,-82.36%,-167.09%,0.00,0.00,"-283,308.50","-1,106,067.35",0,[],[],[],[],[],[],[],[],[]
703,0xKyd,-3.25%,+7.55%,-3.86%,+73.52%,"-36,502.25","+76,227.51","-70,037.97","+2,040,975.84",2,"['2022-12-31 02:08:28', '2022-12-31 02:08:20']","['LTCUSDT Perpetual', 'LTCBUSD Perpetual']","['10x', '5x']","['Long', 'Long']","['10573.468', '3207.48']","['67.10', '67.052052']","['67.67', '67.622402']","['6,025.02', '1,829.38']","['(5.3170%)', '(2.6801%)']"
704,Anonymous User-016ab5,-13.10%,-8.39%,-43.08%,-149.22%,-59.67,-36.24,-299.65,"-9,055.29",13,"['2022-12-31 00:06:39', '2022-12-17 15:04:43', '2022-12-30 17:04:24', '2022-12-22 23:14:21', '2022-12-17 03:20:28', '2022-11-15 09:44:02', '2022-11-08 20:28:48', '2022-12-30 10:11:29', '2022-12-30 20:39:50', '2022-12-25 03:56:01', '2022-12-30 16:20:54', '2022-12-30 22:14:34', '2022-12-30 08:40:59']","['BNBUSDT Perpetual', 'DOGEUSDT Perpetual', 'TRXUSDT Perpetual', 'XLMUSDT Perpetual', 'KSMUSDT Perpetual', 'ATOMUSDT Perpetual', 'SOLUSDT Perpetual', 'CRVUSDT Perpetual', 'ETHUSDT Perpetual', 'EGLDUSDT Perpetual', 'NEARUSDT Perpetual', 'BTCUSDT Perpetual', 'DYDXUSDT Perpetual']","['50x', '25x', '25x', '10x', '50x', '25x', '50x', '20x', '75x', '20x', '20x', '75x', '20x']","['Short', 'Short', 'Short', 'Short', 'Long', 'Short', 'Short', 'Long', 'Short', 'Short', 'Long', 'Short', 'Long']","['6.65', '724', '13395', '1172', '0.5', '6.95', '1', '184.7', '2.113', '3.3', '371', '0.109', '161.5']","['244.840', '0.101223', '0.05415', '0.07575', '22.280', '15.117', '32.7271', '0.495', '1,196.21', '36.088', '1.2540', '16,616.71', '1.028']","['245.350', '0.068140', '0.05440', '0.07194', '24.500', '9.345', '9.8560', '0.525', '1,196.59', '33.100', '1.2642', '16,564.90', '1.043']","['-3.39', '23.95', '-3.35', '4.46', '1.11', '40.12', '22.87', '5.53', '-0.80', '9.86', '3.80', '5.65', '2.35']","['(-10.3933%)', '(1,213.7838%)', '(-11.4890%)', '(52.9337%)', '(453.0612%)', '(1,544.2695%)', '(11,602.6496%)', '(113.9887%)', '(-2.3800%)', '(180.5369%)', '(16.1867%)', '(23.4570%)', '(27.9036%)']"
705,Side-sleep,-10.65%,-4.63%,+27.52%,-16.46%,-696.68,-429.06,"+2,367.30","-3,230.02",1,['2022-12-30 15:51:23'],['BTCUSDT Perpetual'],['8x'],['Long'],['5'],"['16,367.00']","['16,564.90']",['989.50'],['(9.5576%)']
706,Kimchimin,+11.05%,-24.58%,+499.68%,-166.76%,+381.69,"-1,250.90","+3,095.14","-25,495.76",1,['2022-12-27 01:30:27'],['BTCUSDT Perpetual'],['15x'],['Long'],['4.383'],"['16,856.08']","['16,565.60']","['-1,273.17']",['(-26.3027%)']
707,Anonymous User-68d688,-1.02%,+15.19%,+642.95%,+67.07%,-29.94,+384.85,"+2,785.58","+4,090.14",4,"['2022-12-30 06:31:34', '2022-12-30 06:31:12', '2022-12-30 06:31:25', '2022-12-30 06:31:44']","['BNBUSDT Perpetual', 'DOGEUSDT Perpetual', 'MASKUSDT Perpetual', 'BTCUSDT Perpetual']","['23x', '23x', '20x', '23x']","['Short', 'Short', 'Short', 'Short']","['6.01', '83515', '1488', '0.134']","['241.117', '0.084658', '2.3983', '16,613.26']","['245.396', '0.068140', '2.0221', '16,565.60']","['-25.72', '1,379.48', '559.86', '6.39']","['(-40.1039%)', '(557.5399%)', '(372.1465%)', '(6.6169%)']"
